Parameters read
34	16	100	1	20
Simulation started
Initialise 34 🐿️
CTRL on 18 READY
Timer on 1 READY, simulation length: 20

		    Timer report: month  1    
Land on rank 17, month 18 	influx:  0	infected:  0
Land on rank  4, month 18 	influx:  0	infected:  0
Land on rank  7, month 18 	influx:  0	infected:  0
Land on rank 15, month 18 	influx:  0	infected:  0
Land on rank  5, month 18 	influx:  0	infected:  0
Land on rank 12, month 18 	influx:  0	infected:  0
Land on rank 16, month 18 	influx:  0	infected:  0
Land on rank  8, month 18 	influx:  0	infected:  0
Land on rank  3, month 18 	influx:  0	infected:  0
Land on rank  6, month 18 	influx:  0	infected:  0
Land on rank  2, month 18 	influx:  0	infected:  0
Land on rank 14, month 18 	influx:  0	infected:  0
Land on rank 11, month 18 	influx:  0	infected:  0
Land on rank 10, month 18 	influx:  0	infected:  0
Land on rank  9, month 18 	influx:  0	infected:  0
Land on rank 13, month 18 	influx:  0	infected:  0
CTRL on rank 18, month 18 	population: 0

		    Timer report: month 19    
Land on rank  4, month 19 	influx:  0	infected:  0
Land on rank  6, month 19 	influx:  0	infected:  0
Land on rank  9, month 19 	influx:  0	infected:  0
Land on rank 11, month 19 	influx:  0	infected:  0
Land on rank 14, month 19 	influx:  0	infected:  0
Land on rank 16, month 19 	influx:  0	infected:  0
CTRL on rank 18, month 19 	population: 0
Land on rank  2, month 19 	influx:  0	infected:  0
Land on rank 10, month 19 	influx:  0	infected:  0
Land on rank 12, month 19 	influx:  0	infected:  0
Land on rank 15, month 19 	influx:  0	infected:  0
Land on rank  8, month 19 	influx:  0	infected:  0
Land on rank 17, month 19 	influx:  0	infected:  0
Land on rank  3, month 19 	influx:  0	infected:  0
Land on rank 13, month 19 	influx:  0	infected:  0
Land on rank  5, month 19 	influx:  0	infected:  0
Land on rank  7, month 19 	influx:  0	infected:  0

		    Timer report: month 20    
Land on rank  2, month 20 	influx:  0	infected:  0
Land on rank  8, month 20 	influx:  0	infected:  0
Land on rank 11, month 20 	influx:  0	infected:  0
Land on rank 12, month 20 	influx:  0	infected:  0
Land on rank 15, month 20 	influx:  0	infected:  0
Land on rank 16, month 20 	influx:  0	infected:  0
Land on rank 17, month 20 	influx:  0	infected:  0
Land on rank  4, month 20 	influx:  0	infected:  0
Land on rank  5, month 20 	influx:  0	infected:  0
Land on rank  7, month 20 	influx:  0	infected:  0
Land on rank 10, month 20 	influx:  0	infected:  0
Land on rank  6, month 20 	influx:  0	infected:  0
Land on rank  3, month 20 	influx:  0	infected:  0
CTRL on rank 18, month 20 	population: 0
Land on rank 14, month 20 	influx:  0	infected:  0
Land on rank  9, month 20 	influx:  0	infected:  0
Land on rank 13, month 20 	influx:  0	infected:  0
	FINISHED: Simulation Stoped. Population: 0
