Parameters read
34	16	100	1	20
Simulation started
Initialise 34 🐿️
Timer on 1 READY, simulation length: 20
CTRL on 18 READY

		    Timer report: month  1    
Land on rank 15, month  4 	influx: 404	infected:  2
Land on rank 12, month  4 	influx: 428	infected:  4
Land on rank  9, month  4 	influx: 403	infected:  3
Land on rank  5, month  4 	influx: 435	infected:  8
Land on rank  8, month  4 	influx: 398	infected:  7
Land on rank 10, month  4 	influx: 396	infected:  5
Land on rank 16, month  4 	influx: 436	infected:  7
Land on rank 17, month  4 	influx: 422	infected: 11
Land on rank  3, month  4 	influx: 429	infected:  5
Land on rank 14, month  4 	influx: 403	infected:  4
Land on rank 13, month  4 	influx: 392	infected:  4
Land on rank  4, month  4 	influx: 430	infected:  2

		    Timer report: month  5    
Land on rank  2, month  5 	influx: 480	infected: 13
Land on rank  3, month  5 	influx: 482	infected: 15
Land on rank  8, month  5 	influx: 455	infected: 14
Land on rank 12, month  5 	influx: 489	infected: 16
Land on rank 15, month  5 	influx: 475	infected: 13
Land on rank  5, month  5 	influx: 489	infected: 18
Land on rank  9, month  5 	influx: 449	infected: 11
Land on rank 11, month  5 	influx: 465	infected: 13
Land on rank  4, month  5 	influx: 461	infected:  8
Land on rank 17, month  5 	influx: 462	infected: 17
Land on rank  6, month  5 	influx: 447	infected: 14
Land on rank 10, month  5 	influx: 428	infected: 11
Land on rank 14, month  5 	influx: 438	infected: 10
Land on rank 16, month  5 	influx: 502	infected: 18
Land on rank  7, month  5 	influx: 490	infected: 15
Land on rank 13, month  5 	influx: 443	infected: 10

		    Timer report: month  6    
Land on rank  3, month  6 	influx: 524	infected: 26
Land on rank  4, month  6 	influx: 547	infected: 35
Land on rank  6, month  6 	influx: 528	infected: 31
Land on rank  8, month  6 	influx: 529	infected: 32
Land on rank 11, month  6 	influx: 545	infected: 29
Land on rank 13, month  6 	influx: 504	infected: 31
Land on rank 16, month  6 	influx: 558	infected: 31
Land on rank  2, month  6 	influx: 549	infected: 32
Land on rank 15, month  6 	influx: 546	infected: 36
Land on rank  7, month  6 	influx: 551	infected: 42
